Year,River,Fishery_Type,Coho_Harvest_Count
2000,Berners River,AK_Gillnet (Drift & Set),5330.081268
2000,Berners River,AK_Other,6
2000,Berners River,AK_Seine,171.1066845
2000,Berners River,AK_Sport,497.0713813
2000,Berners River,AK_Troll,4810.703564
2000,Berners River,CAN_AllFisheries,0
2001,Berners River,AK_Gillnet (Drift & Set),3522.947967
2001,Berners River,AK_Other,0
2001,Berners River,AK_Seine,178.2302067
2001,Berners River,AK_Sport,347.2272674
2001,Berners River,AK_Troll,8814.345685
2001,Berners River,CAN_AllFisheries,0
2002,Berners River,AK_Gillnet (Drift & Set),12076.71349
2002,Berners River,AK_Other,0
2002,Berners River,AK_Seine,311.94612
2002,Berners River,AK_Sport,1079.962277
2002,Berners River,AK_Troll,8649.799149
2002,Berners River,CAN_AllFisheries,0
2003,Berners River,AK_Gillnet (Drift & Set),11377.239
2003,Berners River,AK_Other,0
2003,Berners River,AK_Seine,250.6496224
2003,Berners River,AK_Sport,550.3528578
2003,Berners River,AK_Troll,6822.780149
2003,Berners River,CAN_AllFisheries,0
2004,Berners River,AK_Gillnet (Drift & Set),7351.741119
2004,Berners River,AK_Other,0
2004,Berners River,AK_Seine,83.34392254
2004,Berners River,AK_Sport,497.0393603
2004,Berners River,AK_Troll,10791.87953
2004,Berners River,CAN_AllFisheries,0
2005,Berners River,AK_Gillnet (Drift & Set),2546.106628
2005,Berners River,AK_Other,0
2005,Berners River,AK_Seine,121.2216062
2005,Berners River,AK_Sport,231.861115
2005,Berners River,AK_Troll,4638.685593
2005,Berners River,CAN_AllFisheries,0
2006,Berners River,AK_Gillnet (Drift & Set),6160.747743
2006,Berners River,AK_Other,0
2006,Berners River,AK_Seine,0
2006,Berners River,AK_Sport,109.93983
2006,Berners River,AK_Troll,4081.51653
2006,Berners River,CAN_AllFisheries,0
2007,Berners River,AK_Gillnet (Drift & Set),1668.241463
2007,Berners River,AK_Other,0
2007,Berners River,AK_Seine,39.76615034
2007,Berners River,AK_Sport,161.0773963
2007,Berners River,AK_Troll,2937.465407
2007,Berners River,CAN_AllFisheries,0
2008,Berners River,AK_Gillnet (Drift & Set),3469.358364
2008,Berners River,AK_Other,0
2008,Berners River,AK_Seine,0
2008,Berners River,AK_Sport,149.2063089
2008,Berners River,AK_Troll,3878.194539
2008,Berners River,CAN_AllFisheries,0
2009,Berners River,AK_Gillnet (Drift & Set),2037.189163
2009,Berners River,AK_Other,0
2009,Berners River,AK_Seine,63.46978025
2009,Berners River,AK_Sport,180.0981722
2009,Berners River,AK_Troll,2806.689
2009,Berners River,CAN_AllFisheries,0
2010,Berners River,AK_Gillnet (Drift & Set),7257.809484
2010,Berners River,AK_Other,0
2010,Berners River,AK_Seine,110.4222284
2010,Berners River,AK_Sport,314.896199
2010,Berners River,AK_Troll,6451.032192
2010,Berners River,CAN_AllFisheries,0
2011,Berners River,AK_Gillnet (Drift & Set),1902.776603
2011,Berners River,AK_Other,0
2011,Berners River,AK_Seine,251.4977341
2011,Berners River,AK_Sport,40.45929318
2011,Berners River,AK_Troll,3727.768059
2011,Berners River,CAN_AllFisheries,0
2012,Berners River,AK_Gillnet (Drift & Set),919.8546467
2012,Berners River,AK_Other,0
2012,Berners River,AK_Seine,0
2012,Berners River,AK_Sport,28.29353576
2012,Berners River,AK_Troll,2074.576987
2012,Berners River,CAN_AllFisheries,0
2013,Berners River,AK_Gillnet (Drift & Set),6289.002651
2013,Berners River,AK_Other,0
2013,Berners River,AK_Seine,369.3129152
2013,Berners River,AK_Sport,323.7342177
2013,Berners River,AK_Troll,7520.631489
2013,Berners River,CAN_AllFisheries,0
2014,Berners River,AK_Gillnet (Drift & Set),6206.770282
2014,Berners River,AK_Other,0
2014,Berners River,AK_Seine,0
2014,Berners River,AK_Sport,281.1419177
2014,Berners River,AK_Troll,4301.124104
2014,Berners River,CAN_AllFisheries,0
2015,Berners River,AK_Gillnet (Drift & Set),1888.027052
2015,Berners River,AK_Other,0
2015,Berners River,AK_Seine,120
2015,Berners River,AK_Sport,217.7842243
2015,Berners River,AK_Troll,3578.670112
2015,Berners River,CAN_AllFisheries,0
2016,Berners River,AK_Gillnet (Drift & Set),2226.260468
2016,Berners River,AK_Other,0
2016,Berners River,AK_Seine,11.27694138
2016,Berners River,AK_Sport,141.7638828
2016,Berners River,AK_Troll,931.1804287
2016,Berners River,CAN_AllFisheries,0
2017,Berners River,AK_Gillnet (Drift & Set),1623.265961
2017,Berners River,AK_Other,0
2017,Berners River,AK_Seine,863
2017,Berners River,AK_Sport,279.1198222
2017,Berners River,AK_Troll,4463.539644
2017,Berners River,CAN_AllFisheries,0
2018,Berners River,AK_Gillnet (Drift & Set),3018.070223
2018,Berners River,AK_Other,0
2018,Berners River,AK_Seine,0
2018,Berners River,AK_Sport,124.4460551
2018,Berners River,AK_Troll,1087.638298
2018,Berners River,CAN_AllFisheries,0
2019,Berners River,AK_Gillnet (Drift & Set),2240.187214
2019,Berners River,AK_Other,0
2019,Berners River,AK_Seine,0
2019,Berners River,AK_Sport,81.18364369
2019,Berners River,AK_Troll,1047.181476
2019,Berners River,CAN_AllFisheries,0
1982,Ford Arm Lake,AK_Gillnet (Drift & Set),0
1982,Ford Arm Lake,AK_Other,0
1982,Ford Arm Lake,AK_Seine,106
1982,Ford Arm Lake,AK_Sport,0
1982,Ford Arm Lake,AK_Troll,1927
1982,Ford Arm Lake,CAN_AllFisheries,0
1983,Ford Arm Lake,AK_Gillnet (Drift & Set),0
1983,Ford Arm Lake,AK_Other,0
1983,Ford Arm Lake,AK_Seine,912
1983,Ford Arm Lake,AK_Sport,0
1983,Ford Arm Lake,AK_Troll,3344
1983,Ford Arm Lake,CAN_AllFisheries,0
1984,Ford Arm Lake,AK_Gillnet (Drift & Set),NA
1984,Ford Arm Lake,AK_Other,NA
1984,Ford Arm Lake,AK_Seine,NA
1984,Ford Arm Lake,AK_Sport,NA
1984,Ford Arm Lake,AK_Troll,NA
1984,Ford Arm Lake,CAN_AllFisheries,NA
1985,Ford Arm Lake,AK_Gillnet (Drift & Set),0
1985,Ford Arm Lake,AK_Other,0
1985,Ford Arm Lake,AK_Seine,0
1985,Ford Arm Lake,AK_Sport,0
1985,Ford Arm Lake,AK_Troll,2482
1985,Ford Arm Lake,CAN_AllFisheries,0
1986,Ford Arm Lake,AK_Gillnet (Drift & Set),0
1986,Ford Arm Lake,AK_Other,0
1986,Ford Arm Lake,AK_Seine,63
1986,Ford Arm Lake,AK_Sport,0
1986,Ford Arm Lake,AK_Troll,2483
1986,Ford Arm Lake,CAN_AllFisheries,0
1987,Ford Arm Lake,AK_Gillnet (Drift & Set),0
1987,Ford Arm Lake,AK_Other,0
1987,Ford Arm Lake,AK_Seine,81
1987,Ford Arm Lake,AK_Sport,0
1987,Ford Arm Lake,AK_Troll,1458
1987,Ford Arm Lake,CAN_AllFisheries,0
1988,Ford Arm Lake,AK_Gillnet (Drift & Set),0
1988,Ford Arm Lake,AK_Other,0
1988,Ford Arm Lake,AK_Seine,46
1988,Ford Arm Lake,AK_Sport,0
1988,Ford Arm Lake,AK_Troll,2816
1988,Ford Arm Lake,CAN_AllFisheries,31
